benchmark,brand,core,model,speed
"
6223
","
Intel Core i9-9900K
",8 cores),"i9-9900K
","
3."
"
6190
","
Intel Core i7-8086K
",6 cores),"i7-8086K
","
4."
"
6185
","
Intel Core i9-9900KF
",8 cores),"i9-9900KF
","
3."
"
6034
","
Intel Core i7-9700K
",8 cores),"i7-9700K
","
3."
"
5922
","
Intel Core i7-7740X
",4 cores),"i7-7740X
","
4."
"
5895
","
Intel Core i5-7640X
",4 cores),"i5-7640X
","
4."
"
5894
","
Intel Core i7-8700K
",6 cores),"i7-8700K
","
3."
"
5830
","
Intel Core i5-9600K
",6 cores),"i5-9600K
","
3."
"
5704
","
Intel Core i5-8600K
",6 cores),"i5-8600K
","
3."
"
5692
","
Intel Core i7-7700K
",4 cores),"i7-7700K
","
4."
"
5665
","
Intel Core i9-9900
",8 cores),"i9-9900
","
3."
"
5635
","
Intel Core i3-7350K
",2 cores),"i3-7350K
","
4."
"
5626
","
AMD Ryzen 9 3900X
",12 cores),"3900X
","
3."
"
5586
","
AMD Ryzen 7 3800X
",8 cores),"3800X
","
3."
"
5546
","
AMD Ryzen 7 3700X
",8 cores),"3700X
","
3."
"
5516
","
Intel Core i3-8350K
",4 cores),"i3-8350K
","
4."
"
5513
","
AMD Ryzen 5 3600X
",6 cores),"3600X
","
3."
"
5493
","
Intel Core i9-7960X
",16 cores),"i9-7960X
","
2."
"
5493
","
Intel Core i7-9800X
",8 cores),"i7-9800X
","
3."
"
5414
","
AMD Ryzen 5 3600
",6 cores),"3600
","
3."
"
5389
","
Intel Core i7-7820X
",8 cores),"i7-7820X
","
3."
"
5357
","
Intel Core i9-8950HK
",6 cores),"i9-8950HK
","
2."
"
5352
","
Intel Xeon E3-1285 v6
",4 cores),"v6
","
4."
"
5351
","
Intel Core i5-7600K
",4 cores),"i5-7600K
","
3."
"
5350
","
Intel Core i9-9980XE
",18 cores),"i9-9980XE
","
3."
"
5337
","
Intel Core i7-6700K
",4 cores),"i7-6700K
","
4."
"
5332
","
Intel Core i9-7900X
",10 cores),"i9-7900X
","
3."
